"indication"|"icd"|"source_data"
Nontraumatic intracerebral hemorrhage|ICD-11: 8B00.4|public
Paralysis|ICD-11: 8B60|public
Parasitic infection|ICD-11: 1D0Y-1G2Z|public
Pervasive developmental disorder|ICD-11: 6A00-6A0Z|public
Pulmonary hypertension|ICD-11: BB01|public
Respiratory infection|ICD-11: CA07-CA4Z|public
Retrovirus infection|ICD-11: 1D9Y|public
Reversal of anticoagulation|ICD-11: N.A.|public
Rheumatic fever|ICD-11: 1B40-1B42|public
Spinal disease|ICD-11: FA72|public
Staphylococcal/streptococcal disease|ICD-11: 1B5Y|public
Streptococcal B infection|ICD-11: 1G40|public
Urethral cancer|ICD-11: 2C93|public
Vaginitis|ICD-11: GA02|public
Vision impairment|ICD-11: 9D90|public
Warm autoimmune hemolytic anemia|ICD-11: 3A20.0|public
Acquired hypomelanotic disorder|ICD-11: ED63|public
Acute leukaemia|ICD-11: 2A60|public
Addictive disorder|ICD-11: 6C50-6C5Z|public
Allergic asthma|ICD-11: CA23.0|public
Anabolic metabolism|ICD-11: 5C50-5C8Z|public
Angelman syndrome|ICD-11: LD90.0|public
Angiogenesis disorder|ICD-11: BE2Z|public
Appendicitis|ICD-11: DB10|public
Atopic dermatitis|ICD-11: EA80|public
Blood chemistry clinical sympton|ICD-11: MA18|public
Canavan disease|ICD-11: 5C50.E1|public
Cardiac arrhythmia|ICD-11: BC9Z|public
Cerebral amyloid angiopathy|ICD-11: 5D00.0|public
Chronic back pain|ICD-11: ME86|public
Chronic kidney disease|ICD-11: GB61|public
Chronic myelomonocytic leukaemia|ICD-11: 2A40|public
Claudication|ICD-11: FA11|public
Contrast medium for intravenous urography|ICD-11: GC2Z|public
Cough|ICD-11: MD12|public
Deafness|ICD-11: AB52|public
Dysmenorrhea|ICD-11: GA34.3|public
Dysrhythmias|ICD-11: BC9Z|public
Elevated Lipoprotein(a)|ICD-11: 5C80.1|public
Entamoeba histolytica infection|ICD-11: 1A36.Z|public
Enterococcus faecium infection|ICD-11: 1D01.0Y|public
Episode|ICD-11: N.A.|public
Euvolemic hyponatremia|ICD-11: 5C72|public
Female pelvic pain|ICD-11: GA34|public
Fibrosis|ICD-11: GA14-GC01|public
Filarial disease|ICD-11: 1F66|public
Folate-deficiency anemia|ICD-11: 3A02.Y|public
Gastritis|ICD-11: DA42|public
Genital organ in situ carcinoma|ICD-11: 2E67|public
Head and body lice|ICD-11: 1G00.0|public
Helminth infection|ICD-11: 1F90.0|public
Hereditary spinocerebellar ataxia|ICD-11: 8A03.1|public
Herniation disk|ICD-11: ND51.2|public
Heroin and opiate withdrawal|ICD-11: 6C43|public
Hyperoxaluria|ICD-11: 5C51.2|public
Hyperthyroidism|ICD-11: 5A02|public
Inflammatory liver disease|ICD-11: DB97|public
Intractable insomnia|ICD-11: 7A00|public
Iron deficiency|ICD-11: 5B5K.0|public
Irregularities|ICD-11: N.A.|public
Liver disease|ICD-11: DB90-DB9Z|public
Lumbosacral radiculopathy|ICD-11: 8B93.Y|public
Lupus|ICD-11: 4A40|public
Macular degeneration|ICD-11: 9B78.3|public
Menorrhagia|ICD-11: GA20.50|public
Methylmalonic acidemia|ICD-11: 5C50.E0|public
Myocardial hypertrophy|ICD-11: BC45|public
Necrotizing enterocolitis of newborn|ICD-11: KB88|public
Obsessive compulsive disorder|ICD-11: 6B20|public
Orthostatic hypotension|ICD-11: BA21|public
Otitis media|ICD-11: AA80-AB0Z|public
Overactive bladder|ICD-11: GC50.0|public
Pancreatic malfunction|ICD-11: DC30-DC3Z|public
Paroxysmal supraventricular tachycardia|ICD-11: BC81.Z|public
Pediatric attention deficit hyperactivity disorder|ICD-11: 6A05|public
Peptic ulcer|ICD-11: DA61|public
Periodontitis|ICD-11: DA0C|public
Peripheral ischemia|ICD-11: BD30-BD40|public
Peripheral neuropathy|ICD-11: 8C0Z|public
Plant grey mould disease|ICD-11: N.A.|public
Pleural effusion|ICD-11: CB27|public
Postoperative ileus|ICD-11: DA91-DB30|public
Postpartum depression|ICD-11: 6E20.0|public
Psychoactive substances use disorder|ICD-11: 6C4G|public
Pyloric stenosis|ICD-11: DA40.0|public
Raynaud disease|ICD-11: BD42.0|public
Restless legs syndrome|ICD-11: 7A80|public
Retina disorder|ICD-11: 9B70-9B7Z|public
River blindness|ICD-11: 1F6A.0|public
Rotavirus infection (Diarrhoea)|ICD-11: ME05.1|public
Seborrhoeic dermatitis|ICD-11: EA81|public
Skin photodamage|ICD-11: EJ40|public
Snakebite|ICD-11: N.A.|public
Subarachnoid hemorrhage|ICD-11: 8B01|public
Unspecific infection|ICD-11: 1H0Z|public
Unspecific substance harmful effect|ICD-11: NE6Z|public
Venous thromboembolism|ICD-11: BD72|public
Visual system disease|ICD-11: 9E1Z|public
Vulvar intraepithelial neoplasia|ICD-11: 2E67.10|public
facioscapulohumeral muscular dystrophy|ICD-11: 8C70|public
kidney/ureter disorder|ICD-11: GB90|public
Acute and chronic heart failure|ICD-11: BD1Z|public
Advanced stage follicular lymphoma|ICD-11: 2A80|public
Alcoholic cirrhosis of liver|ICD-11: DB94|public
Angina pectoris|ICD-11: BA40|public
Asbestosis|ICD-11: CA60.2|public
Athylene glycol or methanol poisoning|ICD-11: NE61|public
Bradycardia|ICD-11: MC81.1|public
Breast cancer|ICD-11: 2C60-2C6Y|public
Calcific uremic arteriolopathy|ICD-11: EB90|public
Carcinoma|ICD-11: 2A00-2F9Z|public
Centronuclear myopathy|ICD-11: 8C72.01|public
Cerebral ischaemia|ICD-11: 8B1Z|public
Cerebral vasodilator|ICD-11: BA00-BE2Z|public
Cluster headache|ICD-11: 8A81.0|public
Corticobasal degeneration|ICD-11: 8A00.1Y|public
Cystinuria|ICD-11: 5C60.2|public
Delayed gastric emptying|ICD-11: DA41.00|public
Diarrhea|ICD-11: ME05.1|public
Disseminated intravascular coagulation|ICD-11: 3B20|public
Ectodermal dysplasia|ICD-11: LD27.0|public
Encephalopathy|ICD-11: 8E47|public
Eosinophilic asthma|ICD-11: CB02.0|public
Epstein barr virus infection|ICD-11: 1C80|public
Fibrolamellar liver cancer|ICD-11: 2C12.02|public
Focal/segmental autonomic disorder|ICD-11: 8D8A|public
Gastric secretory disorder|ICD-11: DD90|public
Glaucoma|ICD-11: 9C61|public
Graft rejection|ICD-11: NE84|public
Hereditary tyrosinemia type 1|ICD-11: 5C50.11|public
Hyperbilirubinemia|ICD-11: 5C58|public
Idiopathic pulmonary fibrosis|ICD-11: CB03.4|public
Imaging|ICD-11: QA0B|public
Inflammatory polyneuropathy|ICD-11: 8C01|public
Influenza|ICD-11: 1E30-1E32|public
Innate/adaptive immunodeficiency|ICD-11: 4A00|public
Invasive prostate cancer|ICD-11: 2C82|public
Lactose intolerance|ICD-11: 5C61.6|public
Ligneous conjunctivitis|ICD-11: 9A02.2|public
Lysosomal disease|ICD-11: 5C56|public
Metastatic melanoma|ICD-11: 2E2Z|public
Mineral excesses|ICD-11: 5B91|public
Organophosphate poisoning|ICD-11: NE6Z|public
Pediculus capitis infestation|ICD-11: 1G00.0|public
Pemphigoid|ICD-11: EB41|public
Periodontal disease|ICD-11: DA0C|public
Peritoneal cancer|ICD-11: 2C51|public
Pheochromocytoma|ICD-11: 5A75|public
Postpartum haemorrhage|ICD-11: JA43|public
Precursor B-lymphoblastic neoplasm|ICD-11: 2A70|public
Pulmonary and extrapulmonary tuberculosis|ICD-11: 1B10.Z|public
Renal failure|ICD-11: GB60-GB6Z|public
Retinopathy|ICD-11: 9B71|public
Salmonella infection|ICD-11: 1A09|public
Sarcoptes scabiei infection|ICD-11: 1G04|public
Skin pigmentation genetic disorder|ICD-11: EC23|public
Soft tissue sarcoma|ICD-11: 2B57|public
Spider veins|ICD-11: EF20|public
Staining|ICD-11: N.A.|public
Steatohepatitis|ICD-11: DB92|public
Stress urinary incontinence|ICD-11: MF50.20|public
Synthesis disorder|ICD-11: 5C52-5C59|public
Traveler's diarrhea|ICD-11: ME05.1|public
Upper respiratory tract disorder|ICD-11: CA0Z|public
Uremic pruritus|ICD-11: EC90.10|public
Urogenital cancer|ICD-11: 2C95-2C9Z|public
Vaccination|ICD-11: N.A.|public
Viral intestinal infection|ICD-11: 1A2Z|public
Vitamin deficiency|ICD-11: 5B55-5B71|public
Wet age-related macular degeneration|ICD-11: 9B78.3Z|public
X-linked hypophosphataemia|ICD-11: 5C63.22|public
rubella|ICD-11: 1F02|public
Abdominal aortic aneurysm|ICD-11: BD50.4|public
Acid-reflux disorder|ICD-11: DA22|public
Acromegaly|ICD-11: 5A60.0|public
Amnesia|ICD-11: MB21.1|public
Argininosuccinate synthase deficiency|ICD-11: 5C50.A3|public
Arthritis|ICD-11: FA20|public
Attention deficit hyperactivity disorder|ICD-11: 6A05.Z|public
Autosomal recessive congenital ichthyosis|ICD-11: EC20.02|public
Basal cell carcinoma|ICD-11: 2C32|public
Behcet disease|ICD-11: 4A62|public
Bile duct disease|ICD-11: LB20|public
Bladder cancer|ICD-11: 2C94|public
Botulism|ICD-11: 1A11|public
Candidosis|ICD-11: 1F23|public
Central nervous system disease|ICD-11: 8A04-8D87|public
Cerebral ischemia|ICD-11: 8B11|public
Cervical intraepithelial neoplasia|ICD-11: 2E66|public
Chronic obstructive pulmonary disease|ICD-11: CA22|public
Clear cell sarcoma|ICD-11: 2A60-2C35|public
Congenital structural myopathy|ICD-11: 8C72.0|public
Constipation|ICD-11: DD91.1|public
Corneal disease|ICD-11: 9A76-9A78|public
Cystinosis|ICD-11: 5C60.1|public
Cytomegalovirus retinitis|ICD-11: 9B72.00|public
Dilated cardiomyopathy|ICD-11: BC43.0|public
Discoid lupus erythematosus|ICD-11: EB51.0|public
Drug abuse|ICD-11: 6C4G.1Z|public
Embolism|ICD-11: JB42|public
Esophagogastric junction neoplasm|ICD-11: 2B71|public
Excessive sweating|ICD-11: EE00.Z|public
HER2-positive metastatic breast cancer|ICD-11: 2C60-2C65|public
Hepatic fibrosis|ICD-11: DB93.0|public
Hereditary acantholytic dermatoses|ICD-11: EC20.2|public
Hereditary angioedema|ICD-11: 4A00.14|public
Hughes syndrome|ICD-11: 4A45.Z|public
Hypertension|ICD-11: BA00-BA04|public
Hypogonadism|ICD-11: 5A61.0|public
Increase blood pressure|ICD-11: BA04|public
Inflammatory arthropathy|ICD-11: FA2Z|public
Insulin-dependent diabetes|ICD-11: 5A10|public
Interstitial lung disease|ICD-11: CB0Z|public
Intracranial injury|ICD-11: NA07|public
Intradialytic hypotension|ICD-11: BA20-BA21|public
Ischaemic heart disease|ICD-11: BA6Z|public
Joint pain|ICD-11: ME82|public
Leber hereditary optic neuropathy|ICD-11: 8C73.Y|public
Lichen planus|ICD-11: EA91|public
Malignant glioma|ICD-11: 2A00.0|public
Malignant haematopoietic neoplasm|ICD-11: 2B33|public
Malignant intestine neoplasm|ICD-11: 2C0Z|public
Manic depression disorder|ICD-11: 6A71|public
Menopause symptom|ICD-11: GA30.0|public
Metastatic malignant neoplasm|ICD-11: 2D50-2E09|public
Middle East Respiratory Syndrome|ICD-11: 1D64|public
Mucopolysaccharidosis II|ICD-11: 5C56.31|public
Musculoskeletal pain|ICD-11: MG30|public
Myasthenia gravis|ICD-11: 8C6Y|public
Myeloid leukaemia|ICD-11: 2B33.1|public
Nephritis|ICD-11: GB40|public
Night blindness|ICD-11: 9D45|public
Obstructive sleep apnea|ICD-11: 7A41|public
Ocular hypertension|ICD-11: 9C61.01|public
Oesophageal/gastroduodenal disorder|ICD-11: DD90|public
Old age|ICD-11: MG2A|public
Paramyxovirus infection|ICD-11: 1C8E.Y|public
Parathyroid disease|ICD-11: 5A50-5A5Z|public
Perennial allergic rhinitis|ICD-11: CA08.03|public
Peritoneal carcinomatosis|ICD-11: 2D91|public
Pontocerebellar hypoplasia type 6|ICD-11: LD20.01|public
Porphyria|ICD-11: 5C58.1|public
Pulmonary tuberculosis|ICD-11: 1B10.Z|public
Radionuclide imaging|ICD-11: N.A.|public
Renal cell carcinoma|ICD-11: 2C90|public
Respiratory tract infection|ICD-11: CA45|public
Scar conditions|ICD-11: QB83|public
Senile dementia|ICD-11: 6D8Z|public
Skin cancer|ICD-11: 2C30-2C37|public
Smoking dependence|ICD-11: 6C4A.2|public
Squamous cell anal carcinoma|ICD-11: 2C00.3|public
Squamous cell carcinoma|ICD-11: 2B60-2D01|public
Syndromic genetic deafness|ICD-11: LD2H|public
Thought content symptom|ICD-11: MB26|public
Transplanted organ/tissue|ICD-11: QB63|public
Type 2 diabetes mellitus|ICD-11: 5A11|public
Urinary retention|ICD-11: MF50.3|public
Various major chronic disease|ICD-11: N.A.|public
Verruca vulgaris|ICD-11: 1E80|public
Von willebrand disease|ICD-11: 3B12|public
Acute disease anaemia|ICD-11: 3A90|public
Acute iron or aluminum toxicity|ICD-11: FB83.20|public
Acute/subacute hepatic failure|ICD-11: DB91|public
Adenosine deaminase defciency|ICD-11: 4A01.1|public
Advanced sarcoma|ICD-11: 2A60-2C35|public
Amoebiasis|ICD-11: 1A36|public
Atrophic vaginitis|ICD-11: GA30.2|public
Autonomic nervous system disorder|ICD-11: 8D87|public
B-cell small lymphocytic lymphoma|ICD-11: 2A82.0|public
Blood vessel proliferative disorder|ICD-11: BE2Z|public
Bone paget disease|ICD-11: FB85|public
Cerebral ischaemic stroke|ICD-11: 8B11|public
Chronic breathing disorder|ICD-11: 7A4Z|public
Chronic diarrhoea|ICD-11: 1A36.0Z|public
Cocaine use disorder|ICD-11: 6C45|public
Crohn disease|ICD-11: DD70|public
Dermatitis herpetiformis|ICD-11: EB44|public
Enterovirus infection|ICD-11: 1D91|public
Epidermolysis bullosa|ICD-11: EC3Z|public
Gram-positive bacterial infection|ICD-11: 1B74-1F40|public
HER2-positive breast cancer|ICD-11: 2C60-2C65|public
Haemorrhoids|ICD-11: DB60|public
Headache|ICD-11: 8A80-8A84|public
Hearing disorder|ICD-11: AB50-AB57|public
Hepatic failure|ICD-11: DB99.7|public
Hypercalcaemia|ICD-11: 5B91.0|public
Hyperprolactinaemia|ICD-11: 5A60.1|public
Inborn purine/pyrimidine/nucleotide metabolism error|ICD-11: 5C55|public
Inclusion body myositis|ICD-11: 4A41.2|public
Inflammatory spondyloarthritis|ICD-11: FA92|public
Intra ocular pressure reduction|ICD-11: 9C40|public
Ischemic stroke|ICD-11: 8B11.5Z|public
Keratosis pilaris|ICD-11: ED56|public
Malignant lymphatic|ICD-11: 2A82|public
Measure kidney function|ICD-11: MG02|public
Menopausal and postmenopausal disorder|ICD-11: GA30|public
Merkel cell carcinoma|ICD-11: 2C34|public
Metastatic lung neoplasm|ICD-11: 2D70|public
Morquio syndrome|ICD-11: 5C56.32|public
Mucopolysaccharidosis I|ICD-11: 5C56.30|public
Mycose|ICD-11: 1F2Z|public
Nasopharyngeal cancer|ICD-11: 2B6B|public
Neuropathic pain|ICD-11: 8E43.0|public
Ocular infection|ICD-11: 1F00.1|public
Ocular inflammation|ICD-11: 9C61.24|public
Oral cavity/oesophagus/stomach in situ carcinoma|ICD-11: 2E60|public
Orgasmic dysfunction|ICD-11: HA02|public
Osteoarthritis pain|ICD-11: MG30.31|public
Otitis externa|ICD-11: AA00-AA13|public
Ovarian developmental anomaly|ICD-11: LB45|public
Painful bladder syndrome|ICD-11: MG30.50|public
Pancreatitis|ICD-11: DC31-DC34|public
Paroxysmal atrial fibrillation|ICD-11: BC81.30|public
Peanut hypersensitivity|ICD-11: 4A83|public
Pediatric growth disorder|ICD-11: FB86|public
Penile cancer|ICD-11: 2C81|public
Peripheral T-cell lymphoma|ICD-11: 2A90.C|public
Phlebothrombosis|ICD-11: GB90.3|public
Pituitary adenoma|ICD-11: 2F37.0|public
Plantar wart|ICD-11: 1E80.1|public
Procedural sedation|ICD-11: JB0C.3|public
Pustular palmoplantar psoriasis|ICD-11: EA90|public
Retinal vascular occlusion|ICD-11: 9B74|public
Shigella infection|ICD-11: 1A02|public
Short bowel syndrome|ICD-11: KB89.1|public
Sjogren syndrome|ICD-11: 4A43.20|public
Small lymphocytic lymphoma|ICD-11: 2A82.0|public
Spinal anesthesia|ICD-11: MB40.3|public
Stomach ulcer|ICD-11: DA60.Z|public
Subcutaneous fat disorder|ICD-11: EF02|public
T-cell leukaemia|ICD-11: 2A90|public
Tachyarrhythmias|ICD-11: BC71|public
Throat irritation|ICD-11: CA0Y|public
Thyrotoxicosis|ICD-11: 5A02|public
Tic disorder|ICD-11: 8A05|public
Tularemia|ICD-11: 1B94|public
Uterine fibroids|ICD-11: 2E86.0|public
Vasomotor/allergic rhinitis|ICD-11: CA08|public
Vitamin E deficiency|ICD-11: 5B58|public
Acute supraventricular tachycardia|ICD-11: BC81|public
Alcoholic liver disease|ICD-11: DB94|public
Alexander disease|ICD-11: 8A44.2|public
Anal fissure|ICD-11: DB50.0|public
Aortic valve stenosis|ICD-11: BB70|public
Atopic eczema|ICD-11: EA80|public
BCR-ABL1-negative chronic myeloid leukaemia|ICD-11: 2A41|public
Benign prostatic hyperplasia|ICD-11: GA90|public
Bone/articular cartilage neoplasm|ICD-11: 2F7B|public
Bulimia nervosa|ICD-11: 6B81|public
Burkitt cell leukaemia|ICD-11: 2A85.6|public
COVID-19|ICD-11: 1D6Y|public
Carbohydrate metabolism disorder|ICD-11: 5C51.Z|public
Cas mediated disorder|ICD-11: N.A.|public
Cerebral infarction|ICD-11: 8B11.5Z|public
Chemotherapy-induced nausea|ICD-11: MD90|public
Chronic liver disease|ICD-11: DB99.0|public
Cryptosporidium infection|ICD-11: 1A32|public
Deep venous clot|ICD-11: BD71|public
Disuse muscle atrophy|ICD-11: 8B61|public
Episodic vestibular syndrome|ICD-11: AB31|public
Erythropoietic protoporphyria|ICD-11: 5C58.12|public
Familial amyloid polyneuropathy|ICD-11: 5D00.20|public
Female genital tract inflammatory disorder|ICD-11: GA0Z|public
Female genital tract noninflammatory disorder|ICD-11: GA1Y|public
Fragile X chromosome|ICD-11: LD55|public
Gonorrhea|ICD-11: 1A7Z|public
HIV-associated dementia|ICD-11: 6D85.3|public
Haemostatic astringent|ICD-11: MG27|public
Herpes simplex labialis|ICD-11: 1F00.01|public
Hyperlipidemia|ICD-11: 5C80.Z|public
Insulin-resistance syndrome|ICD-11: 5A44|public
Ischemic reperfusion injury|ICD-11: DB98.B|public
Kidney disease|ICD-11: GC2Z|public
Lassa fever|ICD-11: 1D61.2|public
Leiomyosarcoma|ICD-11: 2B58|public
Malignant primary brain tumour|ICD-11: 2A00.0|public
Mantle cell lymphoma|ICD-11: 2A85.5|public
Metabolic bone disease|ICD-11: FB8Y|public
Metabolic syndrome x|ICD-11: 5C50-5D2Z|public
Mineral absorption/transport disorder|ICD-11: 5C64|public
Mitochondrial myopathy|ICD-11: 8C73|public
Mixed connective tissue disease|ICD-11: 4A43.3|public
Muscle spasm|ICD-11: MB47.3|public
Mycosis fungoides|ICD-11: 2B01|public
Myelodysplastic neoplasm|ICD-11: 2A60|public
Myeloproliferative neoplasm|ICD-11: 2A20|public
Neurotoxicity|ICD-11: NE61|public
Niemann-pick disease|ICD-11: 5C56.0Y|public
Opioid-induced constipation|ICD-11: DB32.1|public
Oral candidiasis|ICD-11: 1F23.0|public
Plaque psoriasis|ICD-11: EA90.0|public
Pneumococcal infection|ICD-11: CA00-CA40|public
Polycystic ovarian syndrome|ICD-11: 5A80.1|public
Primary ciliary dyskinesia|ICD-11: LA75.Y|public
Primary progressive multiple sclerosis|ICD-11: 8A40.1|public
Respiratory distress syndrome|ICD-11: CB00|public
Reversal of the anticoagulant effects of dabigatran|ICD-11: N.A|public
Salmonella infection|ICD-11: 1A08|public
Sarcoma|ICD-11: 2A60-2C35|public
Scar tissue|ICD-11: QB83|public
Sebaceous gland disease|ICD-11: EM0Z|public
Sexual dysfunction|ICD-11: HA00-HA01|public
Sickle-cell anaemia|ICD-11: 3A51|public
Sjogren-Larsson syndrome|ICD-11: 5C52.03|public
Skin fibrosis|ICD-11: EM0Z|public
Skin metastasis|ICD-11: 2D50|public
Somatotropin deficiency|ICD-11: 5A61.0|public
Spinal muscular atrophy|ICD-11: 8B61|public
Sunburn|ICD-11: EJ40|public
Thalassaemia|ICD-11: 3A50|public
Tumour|ICD-11: 2A00-2F9Z|public
Varicella zoster virus infection|ICD-11: 1E91|public
Visceral leishmaniasis|ICD-11: 1F54.0|public
Zoonotic viral disease|ICD-11: 1D6Y|public
chronic rhinosinusitis with nasal polyps|ICD-11: CA0A|public
Acute pyelonephritis|ICD-11: GB51|public
Advanced/metastatic breast cancer|ICD-11: 2C60|public
Aggressive cancer|ICD-11: 2A00-2F9Z|public
Alopecia|ICD-11: ED70|public
Anal cancer|ICD-11: 2C00|public
Atrial fibrillation|ICD-11: BC81.3|public
Atrophy|ICD-11: 9A2Y-9C40|public
Beta thalassemia|ICD-11: 3A50.2|public
Blood forming organ disorder|ICD-11: JB64.1|public
Bullous pemphigoid|ICD-11: EB41.0|public
Carcinoid syndrome diarrhea|ICD-11: DA90.0|public
Cardiac arrhythmias|ICD-11: BC9Z|public
Central nervous system lymphoma|ICD-11: 2B33.5|public
Cerebral oedema in diabetic ketoacidosis|ICD-11: 8D60.1|public
Cerebral vasospasm|ICD-11: BA85.Z|public
Cholestasis of parenteral nutrition|ICD-11: DB99.60|public
Cholesterol metabolism disorder|ICD-11: 5C8Z|public
Chronic bronchitis|ICD-11: CA20.1|public
Chronic glaucoma|ICD-11: 9C61.0Z|public
Chronic rhinosinusitis|ICD-11: CA0A|public
Complete androgen insensitivity syndrome|ICD-11: LD2A.4|public
Conjunctival fibrosis|ICD-11: 9A61.3|public
Depressive fatigue|ICD-11: MG22|public
Dietary shortage|ICD-11: 5B5K|public
ER-positive breast cancer|ICD-11: 2C60-2C65|public
Epilepsy/seizure|ICD-11: 8A61-8A6Z|public
Escherichia coli intestinal infection|ICD-11: 1A03|public
Fragrance/cosmetics phototoxic reaction|ICD-11: EK20|public
Gingival/edentulous alveolar ridge disorder|ICD-11: DA0D|public
Haemophilus influenza|ICD-11: 1G40|public
Heart disease|ICD-11: BA41-BA42|public
Helicobacter infection|ICD-11: DA42-DA63|public
Hepatitis B virus infection|ICD-11: 1E51.0|public
Hyper-parathyroidism|ICD-11: 5A51|public
Immune system disease|ICD-11: 4A01-4B41|public
Inborn homocystinuria|ICD-11: 5C50|public
Joint derangement|ICD-11: FA34|public
Keloid/hypertrophic scar|ICD-11: EE60|public
Kidney injury|ICD-11: NB92.0|public
Large cell lymphoma|ICD-11: 2A80.Z|public
Magnetic resonance imaging of liver|ICD-11: ME21|public
Malnutrition|ICD-11: 5B50-5B71|public
Maple-syrup-urine disease|ICD-11: 5C50.D0|public
Mature B-cell leukaemia|ICD-11: 2A82|public
Mild neurocognitive disorder|ICD-11: 6D71|public
Motor symptoms|ICD-11: 6A25.4|public
Muscle wasting disease|ICD-11: 8E4A.3|public
Optic nerve disorder|ICD-11: 9C40|public
Paget's disease|ICD-11: FB85|public
Pancreas disease|ICD-11: DC35-DC3Z|public
Peripheral arterial occlusive disorder|ICD-11: BD4Z|public
Peripheral sensory neuropathies|ICD-11: LD27.3|public
Pleural mesothelioma|ICD-11: 2C26|public
Pneumonia|ICD-11: CA40|public
Poliovirus infection|ICD-11: 1C8Y|public
Polyuria|ICD-11: MF55|public
Preprocedural examination|ICD-11: QA0B|public
Primary hypercholesterolemia|ICD-11: 5C80.00|public
Proliferative lupus nephritis|ICD-11: 4A40|public
Recurrent herpes labialis|ICD-11: 1F00.01|public
Respiratory system disease|ICD-11: CB40-CB7Z|public
Sebaceous gland disorder|ICD-11: ED91|public
Sezary syndrome|ICD-11: 2B02|public
Short stature|ICD-11: 5B11|public
Spinal cerebellar ataxia type 3|ICD-11: 8A03|public
Spinocerebellar ataxia type 3|ICD-11: 8A03.16|public
Stomach disease|ICD-11: DA43-DA4Y|public
Suprapubic pain|ICD-11: MG30-MG3Z|public
Symptomatic vitreomacular adhesion|ICD-11: 9B8Z|public
Tetanus|ICD-11: 1C13|public
Trichuriasis|ICD-11: 1F6G|public
Type-1 diabetes|ICD-11: 5A10|public
Urinary tract disease|ICD-11: GC2Z|public
Vaginal discharge|ICD-11: MF3A|public
Vitamin deficiency|ICD-11: 5B55-5B5F|public
Vitamin/non-protein cofactor absorption/transport disorder|ICD-11: 5C63|public
Xerostomia|ICD-11: DA02.1|public
Acquired methemoglobinemia|ICD-11: 3A93|public
Allergic inflammation|ICD-11: 4A80-4A85|public
Alzheimer disease|ICD-11: 8A20|public
Arterial calcification|ICD-11: BD52.Y|public
B-lineage leukaemia|ICD-11: 2A82.1|public
Bone resorption|ICD-11: FC0Z|public
Cannabis use disorder|ICD-11: 6C41|public
Chagas disease|ICD-11: IF53|public
Childbirth associated breast/lactation disorder|ICD-11: JB46|public
Choroideremia|ICD-11: 9B61|public
Coccidioidomycosis|ICD-11: 1F25|public
Cognition symptoms/signs/clinical sympton|ICD-11: MB21|public
Cystic fibrosis|ICD-11: CA25|public
Diabetes mellitus|ICD-11: 5A10|public
Eating disorder|ICD-11: 6B82|public
Epilepsy|ICD-11: 8A60-8A68|public
Fibromyalgia|ICD-11: MG30.01|public
Gastric cancer|ICD-11: 2B72|public
Gastrinoma|ICD-11: 2C10.1|public
Gastroduodenal motor/secretory disorder|ICD-11: DA41|public
General examination|ICD-11: QA00|public
Glaucoma/ocular hypertension|ICD-11: 9C61|public
Gram-negative bacterial infection|ICD-11: 1F41-1G40|public
Heart transplant rejection|ICD-11: NE84|public
Hepatitis|ICD-11: DB97.Z|public
High blood cholesterol level|ICD-11: 5C80.00|public
Hyperaemia|ICD-11: 9A61-9B7Y|public
Hypercholesterolaemia|ICD-11: 5C80.0|public
Hyperglyceridemia|ICD-11: 5C80.1|public
Hyperlipemia|ICD-11: 5C80|public
Hyperparathyroidism|ICD-11: 5A51|public
Hypertensive crisis|ICD-11: BA03|public
Inborn energy metabolism error|ICD-11: 5C53|public
Infection of the upper and lower urinary tract|ICD-11: GC08|public
Influenza A virus H1N1/H5N1 infection|ICD-11: 1E30|public
Intestinal amebiasis|ICD-11: 1A36|public
Intestine cancer|ICD-11: 2C0Z|public
Joint lubricant|ICD-11: FA30-FA38|public
Large B Cell Lymphoma|ICD-11: 2A81|public
Large intestine motility disorder|ICD-11: DB32|public
Left ventricular failure|ICD-11: BD11|public
Limb girdle muscular dystrophy 2B|ICD-11: 8C70.41|public
Liver cancer|ICD-11: 2C12|public
Lower urinary tract symptom|ICD-11: GB71|public
Lung cancer|ICD-11: 2C25|public
Lung cancer|ICD-11: 2C25.0|public
Lymphatic vessel/lymph nodes disorder|ICD-11: BD9Z|public
Metastatic meninges neoplasm|ICD-11: 2D51|public
Metastatic pleura neoplasm|ICD-11: 2D72|public
Molluscum contagiosum|ICD-11: 1E76|public
Movement disorder|ICD-11: 8A07-8A0Z|public
Muscle disorder|ICD-11: FB32-FB3Z|public
Myocardial reperfusion injury|ICD-11: NB31|public
Neuropathy|ICD-11: 8C0Z|public
Neutropenia|ICD-11: 4B00.0|public
Pancreatic cancer|ICD-11: 2C10|public
Parainfluenza virus infection|ICD-11: 1D9Y|public
Pemphigus vulgaris|ICD-11: EB40|public
Peripheral Ischemic Ulcers|ICD-11: BD41|public
Peritoneal cavity cancer|ICD-11: 2C51.Z|public
Postmenopausal osteoporosis|ICD-11: FB83.11|public
Postoperative hemorrhage|ICD-11: NE81.0Z|public
Postviral fatigue syndrome|ICD-11: 8E49|public
Respiratory failure|ICD-11: CB41|public
Schizoaffective disorder|ICD-11: 6A21|public
Skeletal muscle relaxant|ICD-11: NE60|public
Skin postprocedural disorder|ICD-11: EL8Y|public
Tinea pedis|ICD-11: 1F28.2|public
Vascular restinosis|ICD-11: BE2Z|public
Vasospasm|ICD-11: 9B74.0|public
